"id","username","full_name","description","is_verified","restricted","_id","_status","id_alt"
"154719474224","nicvoiculet","Nicolae Voiculeț","Rugăciunea din “DOINĂ” este lumina ce-mi ține inima aprinsă! Dedic toată muzica mea iubirii de Dumnezeu și de Neam! Doinele îmi sunt rugăciune iar România sunetul!",True,NULL,344,"downloaded",NULL
"1424889777766065","NatoAustritt","NATO Austritt","Der AUSTRITT aus der NATO ist durch Kündigung nach Artikel 13 des NATO-Vertrages möglich - NORDATLANTIKVERTRAG
http://www.nato.diplo.de/Vertretung/nato/de/04/Rechtliche__Grundlagen/Nordatlantikvertrag.html

Die Kündigung des NATOVERTRAGES würde dann die Einnahme einer neutralen Position möglich machen, wie Schweiz, Österreich, Finnland und Schweden, welche durch eine Erklärung der Neutralität Deutschlands gegenüber der UNO erfolgt.

___________________________________

die Durchsicht aller Kommentare ist nicht möglich
daher die Bitte, wichtige Infos direkt oder auf die Seite senden, damit über eine vordergründige Veröffentlichung entschieden werden kann

den Vermerk "" FakeNewsVerdacht "" kann  jede/r Leser/in in der Kommentarfunktion setzen

Aufmerksame Leser haben auf Inhalte eines Beitrages hingewiesen, welcher rechte und nationalistische Bemerkungen einschleust.
Dies zu erkennen ist mitunter schwer bis unmöglich und oft nur sehr aufmerksamen und erfahrenen Menschen möglich.

Sollte dies nochmal festgestellt werden, bittet ich neben einem Kommentar um direkte info an mich.
_____________________________________",False,NULL,147,"downloaded",NULL
"1492252324350852","mod.mil.rus","Минобороны России","Официальная страница Министерства обороны Российской Федерации - Telegram-канал Минобороны России на русском языке ➡ https://t.me/mod_russia.

Telegram-канал Минобороны России на английском языке ➡ https://t.me/mod_russia_en

Rutube-канал Минобороны России ➡ https://rutube.ru/channel/24675435/",True,NULL,391,"downloaded",NULL
"100063622184348","Sergiu.Mihalcea.PaginaOficiala","Sergiu Mihalcea",",,Civism și Conștiință”| Jurnalism independent| Comunicare obiectivă | Implicare cetățenească. ",False,NULL,294,"downloaded",NULL
"787994435289379","group/rumenradevspasitel","Румен Радев - спасителят на България",NULL,NULL,NULL,65,"downloaded",NULL
"248236578706001",NULL,"Boarisch Bluad","Wer san ma und wos woll ma? Mia sama stoize Boarer wou a jeda wos zum song hod. Ob old oda jung, ob grouß oda gloa, ob dick oda diar, ob schee oda schich, ob groußkopfad oda gloaner, ob Jaga oder Wuild, ob Weibl oda Mandl bei uns sats grod richte. De boarisch Dradition und Gschicht is unsa Pflichd. Also her mid eiane Beidräg und Buildln, ia kinnts übaoll eian Senf dazou gem. Wannds a Festl oda sowos hobts, guade Wirtslaid mid Wirtshaisl und oll den andan Schmarrn, eina damid ;-) Dolds de Seitn solang bias a an letztn Boarer´s Bluad brodlt, wias Biar in da Sunn, dass ar a midmocht. I gfrei me sakrisch af eiane Posts und ned vagessn, Bayern des san ma mia! Boarisch Bluad, Boarisch Biar. Wea sei Hoamad ned liabd und ned eard, is a Lump af dera Wold und sei Hoamad ned werd.",NULL,NULL,108,"downloaded",NULL
"138513176208770","sputnik.france","Sputnik France","Sputnik France est un média d'information alternative et d'analyse, produisant un contenu exclusif, multimédia, et ouvert sur un monde multipolaire",True,NULL,90,"downloaded",NULL
"133283433353535","RT.InoTV","InoTV","На ИНО ТВ публикуются репортажи зарубежных телеканалов о России с переводом на русский язык. Материалы можно посмотреть в оригинале.",False,NULL,365,"downloaded",NULL
"100049129852371","Prüfe-alles-glaube-wenig-denke-selbst","Prüfe alles, glaube wenig, denke selbst.","🙂 https://t.me/pruefealles & 🎬 https://rumble.com/user/PruefeAllesGlaubeWenigDenkeSelbst",False,NULL,6,"downloaded",NULL
"182549563410","lentaru","Lenta.Ru","Официальная страница издания «Лента.ру». Доставляем новости без перерывов и выходных с 1999 года.",True,NULL,374,"downloaded",NULL
