id_x,created_time,profile_id,text_original,comments_count,id_y,username,full_name,description,is_verified,restricted,_id,_status,id_alt,followers_count
6026065354178484,2023-04-17 11:50:21+00,100063477739510,"Mennyiért veszed a kenyeret 1500 forintért? Mi kerül annyiba a kényelem? Tudtad, hogy 150 forintér vehetsz 1kg. lisztet?",37,100063477739510.0,tsoncho.ganev,Цончо Ганев,Заместник-председател на Възраждане,True,,55.0,downloaded,,58000.0
2220012501515789,2023-04-01 16:35:46+00,100044566592485,Hätte von mir sein können!! 🤨,12,100044566592485.0,neverforgetniki,Neverforgetniki,"Blogger, Wortkünstler und freier Journalist
Urheberrecht für alle Texte bei mir
YouTube
https://ww",False,,102.0,downloaded,,93000.0
795569125324828,2023-04-23 13:03:14+00,100051217200820,https://www.stareapresei.ro/george-simion-portretul-unui-diversionist-de-meserie/?fbclid=IwAR3EWEq31ZmT8sXGPAssx7FAntfqB3JvlkOK56KEQMr4alnmMWKi0kk1ZQY,16,100051217200820.0,shesti.elena,Ние сме Шести септември - страница на Елена Гунчева,Адвокат,False,,38.0,downloaded,,23000.0
1597942374037572,2023-04-05 15:00:08+00,100064628534852,Sie geben einfach nicht auf. 🤡🤡🤮🤮,16,100064628534852.0,RussophiliaBulgarophilia,Русофили,"България и Русия – Братя Навѣки !!!
🦁 🇧🇬 💞 🇷🇺 🐻 ",False,,51.0,downloaded,,40000.0
6285163881544429,2023-04-22 21:53:57+00,1424889777766065,Ce inseamna talent...,14,1424889777766065.0,NatoAustritt,NATO Austritt,"Der AUSTRITT aus der NATO ist durch Kündigung nach Artikel 13 des NATO-Vertrages möglich - NORDATLANTIKVERTRAG
http://www.nato.diplo.de/Vertretung/nato/de/04/Rechtliche__Grundlagen/Nordatlantikvertrag.html

Die Kündigung des NATOVERTRAGES würde dann die Einnahme einer neutralen Position möglich machen, wie Schweiz, Österreich, Finnland und Schweden, welche durch eine Erklärung der Neutralität Deutschlands gegenüber der UNO erfolgt.

___________________________________

die Durchsicht aller Kommentare ist nicht möglich
daher die Bitte, wichtige Infos direkt oder auf die Seite senden, damit über eine vordergründige Veröffentlichung entschieden werden kann

den Vermerk "" FakeNewsVerdacht "" kann  jede/r Leser/in in der Kommentarfunktion setzen

Aufmerksame Leser haben auf Inhalte eines Beitrages hingewiesen, welcher rechte und nationalistische Bemerkungen einschleust.
Dies zu erkennen ist mitunter schwer bis unmöglich und oft nur sehr aufmerksamen und erfahrenen Menschen möglich.

Sollte dies nochmal festgestellt werden, bittet ich neben einem Kommentar um direkte info an mich.
_____________________________________",False,,147.0,downloaded,,24392.0
735241114614071,2023-01-26 06:11:34+00,138513176208770,India celebrates Republic Day with a military and cultural parade,7,138513176208770.0,sputnik.france,Sputnik France,"Sputnik France est un média d'information alternative et d'analyse, produisant un contenu exclusif, multimédia, et ouvert sur un monde multipolaire",True,,90.0,downloaded,,786228.0
1249343945700198,2023-04-24 08:37:08+00,144698628932572,"Mann am Sonntag auf Leipzigs gefährlichster Straße erstochen Leipzig, Sachsen. Tödliche Auseinandersetzung auf der Eisenbahnstraße: Bei einer Kneipenschlägerei wurde am Sonntag ein Mann mit einem Messer so schwer verletzt, dass er kurz darauf starb. Immer wieder kam es in der Straße in der Vergangenheit zu teils bewaffneten Auseinandersetzungen rivalisierter Drogendealer oder Gangs.",3,144698628932572.0,tassagency,ТАСС,"Информационное агентство России ""ТАСС"" - Крупнейшее российское новостное агентство, фото- и графическая службы, освещающие события в режиме реального времени.

Более 500 корреспондентов в России и за рубежом. 

Около 200 информационных продуктов о политической, экономической, общественной, культурной, спортивной жизни России и мира.",True,,364.0,downloaded,,761570.0
669969155138162,2023-04-23 04:17:59+00,154719474224,ИМАТЕ ЛИ ОБЯСНЕНИЕ ЗАЩО ЦЕНИТЕ НА ХРАНИТЕ ПРОДЪЛЖАВАТ ДА СЕ ВДИГАТ ЕЖЕДНЕВНО !?!?,3,154719474224.0,nicvoiculet,Nicolae Voiculeț,Rugăciunea din “DOINĂ” este lumina ce-mi ține inima aprinsă! Dedic toată muzica mea iubirii de Dumnezeu și de Neam! Doinele îmi sunt rugăciune iar România sunetul!,True,,344.0,downloaded,,63460.0
3328799024097733,2023-04-21 23:57:39+00,100063937567968,🤣🤣🤣 endlich mal ein Richter mit Hirn,2,100063937567968.0,NuoViso.TV,NuoViso.TV,Zum Impressum: http://www.Nuoflix.de/impressum,False,,100.0,downloaded,,41000.0
6107640629289114,2023-04-24 09:50:12+00,100039658642469,Mal den Habeck fragen. Der hat doch IMMER so GUTE Ideen. ;),2,100039658642469.0,wochenblick,Wochenblick,"Die neue Zeitung aus Oberösterreich

Die Redaktion des Wochenblick agiert als Autorenkollektiv, med",False,,12.0,downloaded,,77000.0
655829079886252,2023-04-24 02:43:30+00,1492252324350852,韓国、日本を輸出優遇対象国に再指定 https://sputniknews.jp/20230424/15776673.html 韓国政府は24日、輸出上の手続きを簡素化するなどの優遇対象国に日本を再指定したと発表した。聯合ニュースおよび日本の各メディアが報じた。,2,1492252324350852.0,mod.mil.rus,Минобороны России,"Официальная страница Министерства обороны Российской Федерации - Telegram-канал Минобороны России на русском языке ➡ https://t.me/mod_russia.

Telegram-канал Минобороны России на английском языке ➡ https://t.me/mod_russia_en

Rutube-канал Минобороны России ➡ https://rutube.ru/channel/24675435/",True,,391.0,downloaded,,358126.0
10160266835216140,2023-04-20 09:44:55+00,1433810553594661,"# ***""Der einzige Weg, letztlich die Zivilisation zu retten, wird darin bestehen, den Regierungen ihre Macht über das Geld zu entziehen. Die bisherige Instabilität der Marktwirtschaft ist eine Folge davon, daß der wichtigste Regulator des Marktmechanismus, das Geld, seinerseits von der Regulierung durch den Marktprozeß ausgenommen wurde.""*** Friedrich August von Hayek, Denationalization of Money, 19761",1,1433810553594661.0,wimacht,Wissen ist Macht,"WISSENSWERTES, FAKTEN,
AUFKLÄRUNG & UNTERHALTUNG - Die Revolution ist keine Krankheitserscheinung, sondern eine notwendige Phase der Entwicklung unserer Spezies.",False,,18.0,downloaded,,262072.0
9787577241267799,2023-04-02 10:51:11+00,100044386691134,https://www.facebook.com/100069560094907/posts/525137893148209/,1,100044386691134.0,ing.milan.uhrik,Milan Uhrík • Republika,"Ing. Milan Uhrík, PhD. - predseda hnutia REPUBLIKA, poslanec Európskeho parlamentu",False,,489.0,downloaded,,155000.0
3423828031179107,2023-04-24 09:57:26+00,133283433353535,😉😂😉,1,133283433353535.0,RT.InoTV,InoTV,На ИНО ТВ публикуются репортажи зарубежных телеканалов о России с переводом на русский язык. Материалы можно посмотреть в оригинале.,False,,365.0,downloaded,,107387.0
2374385562769671,2023-04-07 07:45:07+00,182549563410,http://bit.ly/3Ml8Ozd,0,182549563410.0,lentaru,Lenta.Ru,Официальная страница издания «Лента.ру». Доставляем новости без перерывов и выходных с 1999 года.,True,,374.0,downloaded,,834183.0
